Date,Yuanta,Blue Chip,Small-Mid
2022/12/23,110.7,25,34.57
2022/12/22,112.6,25.21,34.65
2022/12/21,110.75,24.98,34.49
2022/12/20,110.3,24.95,34.39
2022/12/19,112.35,25.35,35.69
2022/12/16,113,25.53,36.04
2022/12/15,114.9,25.77,36.7
2022/12/14,114.8,25.78,36.57
2022/12/13,113.4,25.6,35.69
2022/12/12,113.9,25.73,35.91
2022/12/9,115,25.93,36.23
2022/12/8,113.25,25.7,35.89
2022/12/7,114.6,25.98,35.29
2022/12/6,115.3,26.13,35.91
2022/12/5,117.45,26.52,36.64
2022/12/2,117.3,26.48,36.41
2022/12/1,118.35,26.68,36.14
2022/11/30,116.35,26.36,35.48
2022/11/29,115.4,26.05,35.07
2022/11/28,114.35,25.9,35.07
2022/11/25,116.7,28.91,34.87
2022/11/24,116.7,28.79,35.27
2022/11/23,115.6,28.55,34.67
2022/11/22,114.8,28.37,34.39
2022/11/21,113.85,28.23,34.6
2022/11/18,114.25,28.29,34.33
2022/11/17,114.55,28.25,34.55
2022/11/16,114.5,28.16,33.46
2022/11/15,114.7,28.21,33.1
2022/11/14,110,27.37,33.1
2022/11/11,109,26.97,32.55
2022/11/10,103.5,26.04,32.18
2022/11/9,104.5,26.21,32.6
2022/11/8,101.6,25.56,32.06
2022/11/7,100.55,25.3,32.27
2022/11/4,98.85,24.89,31.68
2022/11/3,98.7,24.84,31.35
2022/11/2,100,25.09,30.89
2022/11/1,99.6,24.86,30.28
2022/10/31,99.05,24.71,29.83
